IATA,CITY,STATE,LATITUDE,LONGITUDE
ATL,Atlanta,GA,33.64044,-84.42694
SAV,Savannah,GA,32.12758,-81.20214
DEN,Denver,CO,39.85841,-104.667
MCO,Orlando,FL,28.42889,-81.31603
IAH,Houston,TX,29.98047,-95.33972
SFO,San Francisco,CA,37.619,-122.37484
DFW,Dallas-Fort Worth,TX,32.89595,-97.0372
CMH,Columbus,OH,39.99799,-82.89188
MIA,Miami,FL,25.79325,-80.29056
DCA,Arlington,VA,38.85208,-77.03772
ORD,Chicago,IL,41.9796,-87.90446
JFK,New York,NY,40.63975,-73.77893
FSM,Fort Smith,AR,35.33659,-94.36744
LGA,New York,NY,40.77724,-73.87261
MCI,Kansas City,MO,39.29761,-94.71391
OAK,Oakland,CA,37.72129,-122.22072
MSP,Minneapolis,MN,44.88055,-93.21692
STL,St Louis,MO,38.74769,-90.35999
DTW,Detroit,MI,42.21206,-83.34884
SAN,San Diego,CA,32.73356,-117.18966
EWR,Newark,NJ,40.6925,-74.16866
LAX,Los Angeles,CA,33.94254,-118.40807
RIC,Richmond,VA,37.50517,-77.31967
PHX,Phoenix,AZ,33.43417,-112.00806
SEA,Seattle,WA,47.44898,-122.30931
PDX,Portland,OR,45.58872,-122.5975
RDU,Raleigh,NC,35.87764,-78.78747
BNA,Nashville,TN,36.12448,-86.67818
BOS,Boston,MA,42.36435,-71.00518
LAS,Las Vegas,NV,36.08036,-115.15233
ONT,Ontario,CA,34.056,-117.60119
HNL,Honolulu,HI,21.31869,-157.92241
DSM,Des Moines,IA,41.53493,-93.66068
DAL,Dallas,TX,32.84711,-96.85177
SJU,San Juan,PR,18.43942,-66.00183
COS,Colorado Springs,CO,38.80581,-104.70025
PSP,Palm Springs,CA,33.82922,-116.50625
LAR,Laramie,WY,41.31205,-105.67499
CHS,Charleston,SC,32.89865,-80.04051
MLU,Monroe,LA,32.51087,-92.03769
OKC,Oklahoma City,OK,35.39309,-97.60073
MEM,Memphis,TN,35.04242,-89.97667
HSV,Huntsville,AL,34.64045,-86.77311
BMI,Bloomington,IL,40.47799,-88.91595
BWI,Baltimore,MD,39.1754,-76.6682
JAX,Jacksonville,FL,30.49406,-81.68786
JAN,Jackson,MS,32.31117,-90.07589
EYW,Key West,FL,24.55611,-81.75956
SNA,Santa Ana,CA,33.67566,-117.86822
AZO,Kalamazoo,MI,42.23488,-85.55206
LIH,Lihue,HI,21.97598,-159.33896
TPA,Tampa,FL,27.97547,-82.53325
RSW,Ft. Myers,FL,26.53617,-81.75517
LIT,Little Rock,AR,34.7294,-92.22425
AGS,Augusta,GA,33.36996,-81.9645
TUL,Tulsa,OK,36.19837,-95.88824
PVD,Providence,RI,41.724,-71.42822
SLC,Salt Lake City,UT,40.78839,-111.97777
BRO,Brownsville,TX,25.90683,-97.42586
FLL,Ft. Lauderdale,FL,26.07258,-80.15275
GRR,Grand Rapids,MI,42.88082,-85.52277
SBA,Santa Barbara,CA,34.42621,-119.84037
MDW,Chicago,IL,41.78598,-87.75242
OGG,Kahului,HI,20.89865,-156.43046
CLT,Charlotte,NC,35.21401,-80.94313
BUF,Buffalo,NY,42.94052,-78.73217
CLE,Cleveland,OH,41.41089,-81.8494
SMF,Sacramento,CA,38.69542,-121.59077
PHL,Philadelphia,PA,39.87195,-75.24114
MSO,Missoula,MT,46.91631,-114.09056
OMA,Omaha,NE,41.30252,-95.89417
BDL,Windsor Locks,CT,41.93887,-72.68323
GSO,Greensboro,NC,36.09775,-79.9373
ISP,Islip,NY,40.79524,-73.10021
SJC,San Jose,CA,37.36186,-121.92901
SGU,St George,UT,37.09058,-113.59306
ROA,Roanoke,VA,37.32547,-79.97543
HPN,White Plains,NY,41.06696,-73.70757
GPT,Gulfport-Biloxi,MS,30.40728,-89.07009
RKS,Rock Springs,WY,41.59422,-109.06519
MDT,Harrisburg,PA,40.1935,-76.7634
ABQ,Albuquerque,NM,35.04022,-106.60919
SRQ,Sarasota,FL,27.39533,-82.55411
MBS,Saginaw,MI,43.53291,-84.07965
IND,Indianapolis,IN,39.71733,-86.29438
ICT,Wichita,KS,37.64996,-97.43305
STT,Charlotte Amalie,VI,18.33731,-64.97336
ABE,Allentown,PA,40.65236,-75.4404
BRW,Barrow,AK,71.28545,-156.766
CMI,Champaign/Urbana,IL,40.03925,-88.27806
HLN,Helena,MT,46.60682,-111.98275
PBI,West Palm Beach,FL,26.68316,-80.09559
KOA,Kailua/Kona,HI,19.73877,-156.04563
CVG,Covington,KY,39.04614,-84.66217
AMA,Amarillo,TX,35.21937,-101.70593
MSY,New Orleans,LA,29.99339,-90.25803
MKE,Milwaukee,WI,42.94722,-87.89658
HOU,Houston,TX,29.64542,-95.27889
SGF,Springfield,MO,37.24433,-93.38686
BRD,Brainerd,MN,46.39786,-94.13723
ANC,Anchorage,AK,61.17432,-149.99619
COD,Cody,WY,44.52019,-109.0238
SIT,Sitka,AK,57.04714,-135.3616
IAD,Chantilly,VA,38.94453,-77.45581
FAR,Fargo,ND,46.91935,-96.81499
AUS,Austin,TX,30.19453,-97.66987
PSG,Petersburg,AK,56.80165,-132.94528
BUR,Burbank,CA,34.20062,-118.3585
BOI,Boise,ID,43.56444,-116.22278
BHM,Birmingham,AL,33.56294,-86.75355
RNO,Reno,NV,39.49858,-119.76806
STX,Christiansted,VI,17.70189,-64.79856
GEG,Spokane,WA,47.61986,-117.53384
ELP,El Paso,TX,31.80667,-106.37781
LRD,Laredo,TX,27.54374,-99.46154
MGM,Montgomery,AL,32.30064,-86.39398
BIS,Bismarck,ND,46.77411,-100.74672
ROW,Roswell,NM,33.30156,-104.53056
CHA,Chattanooga,TN,35.03527,-85.20379
PIT,Pittsburgh,PA,40.49147,-80.23287
MLI,Moline,IL,41.44853,-90.50754
CSG,Columbus,GA,32.51633,-84.93886
SDF,Louisville,KY,38.17439,-85.736
MTJ,Montrose,CO,38.50887,-107.89383
FNT,Flint,MI,42.9655,-83.74346
BPT,Beaumont/Port Arthur,TX,29.95083,-94.02069
DAY,Dayton,OH,39.90238,-84.21938
MAF,Midland,TX,31.94253,-102.20191
ORH,Worcester,MA,42.26734,-71.87571
ALO,Waterloo,IA,42.55708,-92.40034
